symbol,open_time,datetime_utc,datetime_kst,open,high,low,close,volume,quote_volume
XRPUSDT,1754006400000,2025-08-01 00:00:00,2025-08-01 09:00:00,3.0223,3.0243,3.0183,3.0193,516548.3,1560483.77996
XRPUSDT,1754006700000,2025-08-01 00:05:00,2025-08-01 09:05:00,3.0193,3.0233,3.0133,3.0134,559419.5,1688531.29209
XRPUSDT,1754007000000,2025-08-01 00:10:00,2025-08-01 09:10:00,3.0135,3.0148,2.9782,2.9939,8818742.5,26432407.75981
XRPUSDT,1754007300000,2025-08-01 00:15:00,2025-08-01 09:15:00,2.994,3.0227,2.9925,3.0224,2111335.2,6349425.60092
XRPUSDT,1754007600000,2025-08-01 00:20:00,2025-08-01 09:20:00,3.0225,3.026,3.0123,3.0123,1417783.8,4281854.52909
XRPUSDT,1754007900000,2025-08-01 00:25:00,2025-08-01 09:25:00,3.0122,3.0123,2.9928,3.0039,1028542.1,3089393.21342
XRPUSDT,1754008200000,2025-08-01 00:30:00,2025-08-01 09:30:00,3.0038,3.006,2.9865,2.9876,1213272.4,3636933.68353
XRPUSDT,1754008500000,2025-08-01 00:35:00,2025-08-01 09:35:00,2.9875,3.0102,2.9834,3.0102,884899.5,2650336.53514
XRPUSDT,1754008800000,2025-08-01 00:40:00,2025-08-01 09:40:00,3.0102,3.0106,2.981,2.9844,2646981.3,7926338.54088
XRPUSDT,1754009100000,2025-08-01 00:45:00,2025-08-01 09:45:00,2.9844,2.9861,2.9623,2.9635,3308298.9,9834221.72806
XRPUSDT,1754009400000,2025-08-01 00:50:00,2025-08-01 09:50:00,2.9634,2.9716,2.9292,2.9703,8250856.1,24290282.98115
XRPUSDT,1754009700000,2025-08-01 00:55:00,2025-08-01 09:55:00,2.9704,2.9919,2.9685,2.9868,1764898.3,5258863.01496
XRPUSDT,1754010000000,2025-08-01 01:00:00,2025-08-01 10:00:00,2.9869,2.9988,2.9788,2.9873,1470824.6,4395957.53133
XRPUSDT,1754010300000,2025-08-01 01:05:00,2025-08-01 10:05:00,2.9873,2.9892,2.9652,2.9708,1647305.1,4902996.06432
XRPUSDT,1754010600000,2025-08-01 01:10:00,2025-08-01 10:10:00,2.9709,2.9743,2.9459,2.9501,1613484.7,4777780.08855
XRPUSDT,1754010900000,2025-08-01 01:15:00,2025-08-01 10:15:00,2.95,2.9639,2.9368,2.9491,1907271,5628892.58227
XRPUSDT,1754011200000,2025-08-01 01:20:00,2025-08-01 10:20:00,2.9492,2.9684,2.9442,2.9666,1835017.7,5426463.99565
XRPUSDT,1754011500000,2025-08-01 01:25:00,2025-08-01 10:25:00,2.9665,2.9763,2.9569,2.9701,1576798.4,4678802.51734
XRPUSDT,1754011800000,2025-08-01 01:30:00,2025-08-01 10:30:00,2.9701,2.9731,2.957,2.9703,1185507.2,3514826.74979
XRPUSDT,1754012100000,2025-08-01 01:35:00,2025-08-01 10:35:00,2.9704,2.9922,2.9677,2.9797,1271631.9,3794229.72184
XRPUSDT,1754012400000,2025-08-01 01:40:00,2025-08-01 10:40:00,2.9797,2.9886,2.9784,2.9852,919291.9,2742389.87093
XRPUSDT,1754012700000,2025-08-01 01:45:00,2025-08-01 10:45:00,2.9852,2.9921,2.9694,2.9723,998906.5,2978993.78089
XRPUSDT,1754013000000,2025-08-01 01:50:00,2025-08-01 10:50:00,2.9724,2.9903,2.9712,2.9849,1085971.7,3237301.44099
XRPUSDT,1754013300000,2025-08-01 01:55:00,2025-08-01 10:55:00,2.985,2.9879,2.9728,2.986,660769.1,1969525.09264
XRPUSDT,1754013600000,2025-08-01 02:00:00,2025-08-01 11:00:00,2.9859,2.9934,2.9774,2.9787,881741.4,2632996.98589
XRPUSDT,1754013900000,2025-08-01 02:05:00,2025-08-01 11:05:00,2.9787,2.9975,2.9782,2.9867,917710.5,2745164.52889
XRPUSDT,1754014200000,2025-08-01 02:10:00,2025-08-01 11:10:00,2.9867,3.0067,2.9867,3.0059,1174459.6,3523715.84198
XRPUSDT,1754014500000,2025-08-01 02:15:00,2025-08-01 11:15:00,3.0058,3.0146,3.0005,3.0143,1117881.3,3362121.31881
XRPUSDT,1754014800000,2025-08-01 02:20:00,2025-08-01 11:20:00,3.0143,3.0173,3.0073,3.0173,1051190,3167336.0967
XRPUSDT,1754015100000,2025-08-01 02:25:00,2025-08-01 11:25:00,3.0172,3.0172,3.0032,3.0061,797253.9,2401060.24957
XRPUSDT,1754015400000,2025-08-01 02:30:00,2025-08-01 11:30:00,3.0062,3.0109,3.0023,3.0095,730261.1,2195462.80133
XRPUSDT,1754015700000,2025-08-01 02:35:00,2025-08-01 11:35:00,3.0096,3.0205,3.0081,3.0176,543836.6,1639891.43389
XRPUSDT,1754016000000,2025-08-01 02:40:00,2025-08-01 11:40:00,3.0176,3.024,3.0145,3.0154,846517.3,2556035.31862
XRPUSDT,1754016300000,2025-08-01 02:45:00,2025-08-01 11:45:00,3.0153,3.0224,3.0117,3.0168,360877.6,1088805.15205
XRPUSDT,1754016600000,2025-08-01 02:50:00,2025-08-01 11:50:00,3.0168,3.0207,3.0123,3.0175,227407.4,686249.18455
XRPUSDT,1754016900000,2025-08-01 02:55:00,2025-08-01 11:55:00,3.0175,3.02,3.0147,3.0191,302178.9,911860.54781
XRPUSDT,1754017200000,2025-08-01 03:00:00,2025-08-01 12:00:00,3.0191,3.0196,3.0042,3.0076,539836.1,1625242.42054
XRPUSDT,1754017500000,2025-08-01 03:05:00,2025-08-01 12:05:00,3.0077,3.0127,3.0053,3.0053,266554,802109.65213
XRPUSDT,1754017800000,2025-08-01 03:10:00,2025-08-01 12:10:00,3.0053,3.0078,3.0021,3.0029,406159.7,1220335.88469
XRPUSDT,1754018100000,2025-08-01 03:15:00,2025-08-01 12:15:00,3.0029,3.0136,3.0024,3.0121,243612.8,732762.86859
XRPUSDT,1754018400000,2025-08-01 03:20:00,2025-08-01 12:20:00,3.0121,3.0243,3.0121,3.0185,392002.3,1184240.074
XRPUSDT,1754018700000,2025-08-01 03:25:00,2025-08-01 12:25:00,3.0184,3.0226,3.0162,3.0194,468080.9,1413783.23721
XRPUSDT,1754019000000,2025-08-01 03:30:00,2025-08-01 12:30:00,3.0193,3.0202,3.0108,3.0113,351062.8,1058483.78287
XRPUSDT,1754019300000,2025-08-01 03:35:00,2025-08-01 12:35:00,3.0112,3.0159,3.0106,3.0121,353808.7,1066154.73658
XRPUSDT,1754019600000,2025-08-01 03:40:00,2025-08-01 12:40:00,3.0121,3.013,3.0061,3.0079,321871.2,968980.01059
XRPUSDT,1754019900000,2025-08-01 03:45:00,2025-08-01 12:45:00,3.0079,3.0116,3.0041,3.006,270277.4,812799.79144
XRPUSDT,1754020200000,2025-08-01 03:50:00,2025-08-01 12:50:00,3.006,3.0061,2.9959,3.0024,589808.8,1769319.34674
XRPUSDT,1754020500000,2025-08-01 03:55:00,2025-08-01 12:55:00,3.0024,3.0028,2.994,2.9983,489877.5,1468980.70714
XRPUSDT,1754020800000,2025-08-01 04:00:00,2025-08-01 13:00:00,2.9982,2.9982,2.9884,2.9915,559497.6,1674426.12792
XRPUSDT,1754021100000,2025-08-01 04:05:00,2025-08-01 13:05:00,2.9914,2.9943,2.9858,2.9897,402390.5,1203001.79243
XRPUSDT,1754021400000,2025-08-01 04:10:00,2025-08-01 13:10:00,2.9897,2.9945,2.98,2.9904,477270.5,1425509.24662
