symbol,open_time,datetime_utc,datetime_kst,open,high,low,close,volume,quote_volume,trades,taker_buy_base,taker_buy_quote,sum_oi,sum_oi_value,cvd_delta,oi_delta,net_long_delta,net_short_delta,top_acc_ls_ratio,top_pos_ls_ratio,global_acc_ls_ratio,taker_ls_vol_ratio
BTCUSDT,1767225600000,2026-01-01 00:00:00,2026-01-01 09:00:00,87608.3,87671.7,87600,87671.6,289.166,25336801.7282,3820,133.729,11719338.4245,94202.585,8252928327.45549965,-21.708,59.445,48.591,70.299,3.07170674,2.478241,2.61142491,1.046953
BTCUSDT,1767225900000,2026-01-01 00:05:00,2026-01-01 09:05:00,87671.6,87791.9,87671.6,87734.5,367.823,32269290.9588,9253,256.003,22458841.6163,94262.03,8264112415.55099964,144.183,57.492,129.5835,-14.5995,3.06705305,2.479259,2.60911334,0.874116
BTCUSDT,1767226200000,2026-01-01 00:10:00,2026-01-01 09:10:00,87734.5,87734.5,87705,87705,95.626,8388561.6226,2327,57.3,5026413.9142,94319.522,8275476568.562994,18.974,21.873,31.36,12.386,3.0643307,2.481492,2.60947728,2.371866
BTCUSDT,1767226500000,2026-01-01 00:15:00,2026-01-01 09:15:00,87705,87735,87705,87735,88.213,7738310.4308,2274,55.482,4866957.2591,94341.395,8274334139.91302872,22.751,21.901,33.2765,10.5255,3.06710643,2.48197,2.61142342,1.731547
BTCUSDT,1767226800000,2026-01-01 00:20:00,2026-01-01 09:20:00,87734.9,87747.3,87733.9,87736.9,78.218,6862734.5835,1858,47.764,4190698.0356,94363.296,8278954338.23040009,17.31,16.303,24.958,7.648,3.07108403,2.48128,2.61500854,1.757051
BTCUSDT,1767227100000,2026-01-01 00:25:00,2026-01-01 09:25:00,87737,87754,87734.1,87746.4,70.469,6183152.8324,2234,37.585,3297819.3436,94379.599,8280582877.4630003,4.701,19.774,22.1245,17.4235,3.07769254,2.480438,2.62068392,1.659304
BTCUSDT,1767227400000,2026-01-01 00:30:00,2026-01-01 09:30:00,87746.3,87747,87716.2,87716.3,100.521,8818857.5678,2558,41.364,3628924.3115,94399.373,8283242380.82321072,-17.793,-0.962,-9.8585,7.9345,3.08166815,2.47951,2.62432516,1.191735
BTCUSDT,1767227700000,2026-01-01 00:35:00,2026-01-01 09:35:00,87716.3,87731.8,87701.7,87721.8,77.075,6760604.8309,2718,50.797,4455633.7292,94398.411,8280279338.79930019,24.519,2.34,14.5995,-9.9195,3.0848544,2.479689,2.62734368,0.745114
BTCUSDT,1767228000000,2026-01-01 00:40:00,2026-01-01 09:40:00,87721.8,87729.3,87706.2,87715,65.621,5756265.1082,1915,41.012,3597530.0402,94400.751,8281032444.91172218,16.403,0.344,8.5455,-7.8575,3.08645068,2.479993,2.62786105,2.053815
BTCUSDT,1767228300000,2026-01-01 00:45:00,2026-01-01 09:45:00,87715,87783.8,87714.9,87783.8,76.91,6748067.0969,2143,64.258,5638129.449,94401.095,8280392047.92500019,51.606,2.26,28.063,-23.543,3.0921657,2.480014,2.63435861,1.883308
BTCUSDT,1767228600000,2026-01-01 00:50:00,2026-01-01 09:50:00,87783.8,87800,87762.8,87772.2,148.811,13062820.9212,3189,59.721,5242306.4186,94403.355,8287085234.64900017,-29.369,-1.428,-16.1125,13.2565,3.0939109,2.479317,2.63858585,5.200645
BTCUSDT,1767228900000,2026-01-01 00:55:00,2026-01-01 09:55:00,87772.2,87819,87767.3,87773.4,112.587,9884096.7444,2907,69.078,6064456.9353,94401.927,8285855376.83670044,25.569,0.924,13.7085,-11.8605,3.09956968,2.478291,2.64636101,0.727469
BTCUSDT,1767229200000,2026-01-01 01:00:00,2026-01-01 10:00:00,87773.4,87829.1,87773.3,87821,102.522,9002182.1034,2369,72.976,6407560.5197,94402.851,8286168359.70624256,43.43,15.788,37.503,-5.927,3.10431593,2.477262,2.6499306,1.717805
BTCUSDT,1767229500000,2026-01-01 01:05:00,2026-01-01 10:05:00,87821,87929,87820.9,87929,484.781,42607975.5127,7722,309.523,27203644.3638,94418.639,8291938948.73341846,134.265,92.847,159.9795,25.7145,3.10429814,2.477138,2.65127187,2.519261
BTCUSDT,1767229800000,2026-01-01 01:10:00,2026-01-01 10:10:00,87928.9,87983.3,87905.4,87960.8,319.1,28065378.646,6056,172.695,15188742.3888,94511.486,8310300452.49400043,26.29,11.946,25.091,-1.199,3.1090179,2.472628,2.66331067,1.794909
BTCUSDT,1767230100000,2026-01-01 01:15:00,2026-01-01 10:15:00,87960.9,88021.4,87907.7,87908.7,359.23,31600967.1202,8525,208.175,18315099.4185,94523.432,8314366149.80879974,57.12,32.46,61.02,3.9,3.11776045,2.466811,2.67416733,1.198194
BTCUSDT,1767230400000,2026-01-01 01:20:00,2026-01-01 10:20:00,87908.7,87930.7,87871.7,87903.3,333.928,29353043.5301,4452,47.933,4213458.6236,94555.892,8312406059.34062862,-238.062,152.632,33.601,271.663,3.12143716,2.463207,2.68123624,1.416241
BTCUSDT,1767230700000,2026-01-01 01:25:00,2026-01-01 10:25:00,87903.2,87903.3,87833.6,87837.5,86.278,7580719.0958,2645,21.044,1848994.4839,94708.524,8325228492.47863388,-44.19,-14.631,-36.726,7.464,3.11652234,2.465887,2.67811034,0.187075
BTCUSDT,1767231000000,2026-01-01 01:30:00,2026-01-01 10:30:00,87837.4,87866.5,87837.4,87855,63.509,5579475.5115,2302,33.602,2951958.6734,94693.893,8318191072.10280895,3.695,4.756,6.6035,2.9085,3.1144253,2.465626,2.67529173,0.364311
BTCUSDT,1767231300000,2026-01-01 01:35:00,2026-01-01 10:35:00,87855,87855.1,87797.9,87808.3,177.902,15624962.2281,4933,78.28,6875644.6917,94698.649,8319754203.83374882,-21.342,-11.771,-22.442,-1.1,3.11326736,2.465505,2.6747567,1.144892
