symbol,open_time,datetime_utc,datetime_kst,open,high,low,close,volume,quote_volume,trades,taker_buy_base,taker_buy_quote,sum_oi,sum_oi_value,cvd_delta,oi_delta,net_long_delta,net_short_delta,top_acc_ls_ratio,top_pos_ls_ratio,global_acc_ls_ratio,taker_ls_vol_ratio
SOLUSDT,1754006400000,2025-08-01 00:00:00,2025-08-01 09:00:00,172.15,172.19,171.83,171.85,82738.43,14232481.5439,9187,47964.25,8250141.8868,8939979.3,1536293585.54311776,13190.07,36259.93,42854.965,29664.895,3.22218929,2.845461,3.21377271,1.378306
SOLUSDT,1754006700000,2025-08-01 00:05:00,2025-08-01 09:05:00,171.86,172.06,171.48,171.65,165854.36,28493459.9505,14242,64414.64,11067604.8935,8976239.23,1541103512.60180902,-37025.08,10347.65,-8164.89,28860.19,3.22477789,2.844366,3.21463954,0.635125
SOLUSDT,1754007000000,2025-08-01 00:10:00,2025-08-01 09:10:00,171.64,171.67,170.52,170.89,360651.42,61665636.87602,33783,128783.6,22019598.9066,8986586.88,1536048427.96509719,-103084.22,21981.56,-29560.55,73523.67,3.66728767,2.868494,3.42837951,0.555405
SOLUSDT,1754007300000,2025-08-01 00:15:00,2025-08-01 09:15:00,170.9,171.75,170.46,171.74,189280.22,32388174.5326,17719,108774.9,18623588.9747,9008568.44,1546953798.52428079,28269.58,9802.24,23937.03,-4332.55,3.69040554,2.855384,3.45475508,1.353008
SOLUSDT,1754007600000,2025-08-01 00:20:00,2025-08-01 09:20:00,171.73,171.88,171.5,171.67,94591.2,16240512.0907,10701,56401.06,9684232.9823,9018370.68,1548273878.34240007,18210.92,8955.1,18060.56,-150.36,3.70697623,2.844362,3.47471847,1.475872
SOLUSDT,1754007900000,2025-08-01 00:25:00,2025-08-01 09:25:00,171.66,171.66,170.62,171.03,94955.59,16239000.1427,11693,54392.66,9301319.1082,9027325.78,1544381206.94023252,13829.73,-444.65,6470.215,-7359.515,3.7123499,2.834984,3.47171615,1.347967
SOLUSDT,1754008200000,2025-08-01 00:30:00,2025-08-01 09:30:00,171.03,171.18,170.35,170.42,94980.68,16216000.1199,12040,47759.92,8152899.577,9026881.13,1538594403.31111312,539.16,4981.69,5251.27,4712.11,3.62054439,2.824052,3.42690937,1.011137
SOLUSDT,1754008500000,2025-08-01 00:35:00,2025-08-01 09:35:00,170.41,171.12,170.32,171.12,81132.17,13846031.6277,10632,46653.43,7963294.0288,9031862.82,1545351728.50200009,12174.69,14115.72,20203.065,8028.375,3.62096513,2.820257,3.43363226,1.348933
SOLUSDT,1754008800000,2025-08-01 00:40:00,2025-08-01 09:40:00,171.12,171.15,169.76,169.96,215692.09,36704232.53154,21338,73412.45,12494561.5788,9045978.54,1537765242.02124906,-68867.19,130.45,-34303.145,34564.045,3.66572238,2.829361,3.47786908,0.516098
SOLUSDT,1754009100000,2025-08-01 00:45:00,2025-08-01 09:45:00,169.95,170.01,169.2,169.27,252692.07,42837143.7163,24186,87515.91,14838248.5015,9046108.99,1531548562.37750697,-77660.25,27449.34,-11380.785,66279.465,3.6400262,2.847363,3.40855899,0.529958
SOLUSDT,1754009400000,2025-08-01 00:50:00,2025-08-01 09:50:00,169.28,169.29,167.24,169.01,1012768.04,170405389.64386001,82504,415322.74,69873297.1663,9073558.33,1534233525.47452092,-182122.56,4909.78,-86151.5,95971.06,3.6590455,2.909742,3.35722091,0.694831
SOLUSDT,1754009700000,2025-08-01 00:55:00,2025-08-01 09:55:00,169.01,170.5,169,170.24,306087.86,52005534.63734,30269,160179.25,27214955.57034,9078468.11,1545583186.73342705,14270.64,-9483.51,-2348.19,-16618.83,3.7183477,2.899154,3.44054763,1.097794
SOLUSDT,1754010000000,2025-08-01 01:00:00,2025-08-01 10:00:00,170.25,170.79,169.9,170.26,325319.95,55446058.7518,28836,187413.03,31941251.79,9068984.6,1544591765.10234451,49506.11,-19336.99,5416.065,-44090.045,3.7320371,2.844789,3.45839136,1.358924
SOLUSDT,1754010300000,2025-08-01 01:05:00,2025-08-01 10:05:00,170.26,170.37,169.08,169.47,209854.96,35609946.3988,20470,81968.45,13907326.0142,9049647.61,1534385057.7356317,-45918.06,-121.32,-23080.35,22837.71,3.70156545,2.831324,3.41184241,0.640813
SOLUSDT,1754010600000,2025-08-01 01:10:00,2025-08-01 10:10:00,169.47,169.59,168.24,168.45,174636.59,29504701.02673,24788,74382.9,12567238.4318,9049526.29,1524211713.02469993,-25870.79,13797.58,862.185,26732.975,3.69712446,2.836722,3.39152348,0.741979
SOLUSDT,1754010900000,2025-08-01 01:15:00,2025-08-01 10:15:00,168.45,169,167.86,168.53,210484.02,35472774.4621,24053,112121.65,18899402.4144,9063323.87,1528009137.12666965,13759.28,7130.03,14009.67,250.39,3.69751718,2.839203,3.40376905,1.140347
SOLUSDT,1754011200000,2025-08-01 01:20:00,2025-08-01 10:20:00,168.54,169.73,168.5,169.51,168445.99,28481358.5465,20952,104966.16,17748393.5115,9070453.9,1537892427.30860209,41486.33,13585.8,34328.965,-7157.365,3.71493665,2.827265,3.41874463,1.653634
SOLUSDT,1754011500000,2025-08-01 01:25:00,2025-08-01 10:25:00,169.51,169.88,169.13,169.57,108964.3,18473470.2177,14828,62163.07,10538559.3152,9084039.7,1540293341.37792134,15361.84,14273.71,21954.63,6592.79,3.75998654,2.819169,3.47660242,1.324319
SOLUSDT,1754011800000,2025-08-01 01:30:00,2025-08-01 10:30:00,169.57,169.7,168.9,169.42,106545.32,18039380.1495,13917,51492.17,8718273.5735,9098313.41,1541246374.48363686,-3560.98,-4681.57,-6462.06,-2901.08,3.75271465,2.792182,3.47226404,0.933058
