symbol,open_time,datetime_utc,datetime_kst,open,high,low,close,volume,quote_volume
BNBUSDT,1788220800000,2026-09-01 00:00:00,2026-09-01 09:00:00,691.44,691.58,691.22,691.57,126.524,87475.12032
BNBUSDT,1788221100000,2026-09-01 00:05:00,2026-09-01 09:05:00,691.56,692.41,691.56,692.41,275.247,190455.08196
BNBUSDT,1788221400000,2026-09-01 00:10:00,2026-09-01 09:10:00,692.42,692.87,692.41,692.87,125.337,86806.21885
BNBUSDT,1788221700000,2026-09-01 00:15:00,2026-09-01 09:15:00,692.87,693.38,692.78,693.38,153.785,106594.03313
BNBUSDT,1788222000000,2026-09-01 00:20:00,2026-09-01 09:20:00,693.37,693.86,693.32,693.42,351.927,244092.78114
BNBUSDT,1788222300000,2026-09-01 00:25:00,2026-09-01 09:25:00,693.42,693.43,692.79,692.87,113.938,78976.40532
BNBUSDT,1788222600000,2026-09-01 00:30:00,2026-09-01 09:30:00,692.86,693.09,692.23,692.74,241.311,167124.28136
BNBUSDT,1788222900000,2026-09-01 00:35:00,2026-09-01 09:35:00,692.75,693.6,692.62,693.07,588.883,408238.36266
BNBUSDT,1788223200000,2026-09-01 00:40:00,2026-09-01 09:40:00,693.07,693.27,692.8,693.17,300.975,208571.92931
BNBUSDT,1788223500000,2026-09-01 00:45:00,2026-09-01 09:45:00,693.18,694.08,693.18,694.01,405.522,281246.72434
BNBUSDT,1788223800000,2026-09-01 00:50:00,2026-09-01 09:50:00,693.99,694.2,693.24,693.25,492.399,341681.02462
BNBUSDT,1788224100000,2026-09-01 00:55:00,2026-09-01 09:55:00,693.24,693.33,692.81,693.28,205.292,142304.22449
BNBUSDT,1788224400000,2026-09-01 01:00:00,2026-09-01 10:00:00,693.29,694,693.27,693.62,146.193,101395.56356
BNBUSDT,1788224700000,2026-09-01 01:05:00,2026-09-01 10:05:00,693.63,694.1,693.29,693.52,319.369,221568.28011
BNBUSDT,1788225000000,2026-09-01 01:10:00,2026-09-01 10:10:00,693.53,693.53,692.31,692.39,130.501,90412.59538
BNBUSDT,1788225300000,2026-09-01 01:15:00,2026-09-01 10:15:00,692.39,692.83,692.15,692.69,216.846,150142.01131
BNBUSDT,1788225600000,2026-09-01 01:20:00,2026-09-01 10:20:00,692.69,692.73,692.37,692.71,105.487,73062.79728
BNBUSDT,1788225900000,2026-09-01 01:25:00,2026-09-01 10:25:00,692.71,692.71,691.29,691.52,301.745,208739.23378
BNBUSDT,1788226200000,2026-09-01 01:30:00,2026-09-01 10:30:00,691.52,691.52,690.67,691.4,504.931,348914.47861
BNBUSDT,1788226500000,2026-09-01 01:35:00,2026-09-01 10:35:00,691.4,692.19,691.39,692.16,120.428,83316.48987
BNBUSDT,1788226800000,2026-09-01 01:40:00,2026-09-01 10:40:00,692.16,692.84,692.15,692.75,115.815,80201.51963
BNBUSDT,1788227100000,2026-09-01 01:45:00,2026-09-01 10:45:00,692.75,692.75,692.03,692.27,71.396,49431.60562
BNBUSDT,1788227400000,2026-09-01 01:50:00,2026-09-01 10:50:00,692.26,692.35,691.56,691.57,155.103,107324.74087
BNBUSDT,1788227700000,2026-09-01 01:55:00,2026-09-01 10:55:00,691.56,691.62,691.31,691.6,55.247,38199.97554
BNBUSDT,1788228000000,2026-09-01 02:00:00,2026-09-01 11:00:00,691.61,691.61,690.61,690.92,151.874,104946.39632
BNBUSDT,1788228300000,2026-09-01 02:05:00,2026-09-01 11:05:00,690.93,691.11,690.44,690.72,132.3,91374.82712
BNBUSDT,1788228600000,2026-09-01 02:10:00,2026-09-01 11:10:00,690.72,691.07,690.16,690.9,282.396,195013.94696
BNBUSDT,1788228900000,2026-09-01 02:15:00,2026-09-01 11:15:00,690.9,690.9,690.43,690.87,88.491,61118.59246
BNBUSDT,1788229200000,2026-09-01 02:20:00,2026-09-01 11:20:00,690.87,690.96,690.63,690.9,153.855,106284.6271
BNBUSDT,1788229500000,2026-09-01 02:25:00,2026-09-01 11:25:00,690.9,691.13,690.33,690.39,402.658,278143.2491
