symbol,open_time,datetime_utc,datetime_kst,open,high,low,close,volume,quote_volume,trades,taker_buy_base,taker_buy_quote,sum_oi,sum_oi_value,cvd_delta,oi_delta,net_long_delta,net_short_delta,top_acc_ls_ratio,top_pos_ls_ratio,global_acc_ls_ratio,taker_ls_vol_ratio
BNBUSDT,1767225600000,2026-01-01 00:00:00,2026-01-01 09:00:00,864.71,864.88,864.23,864.82,1145.35,990123.563,2198,735.13,635490.2326,491161.47,424743001.62828165,324.91,4.98,167.435,-157.475,2.33055134,1.127011,2.85807259,1.779647
BNBUSDT,1767225900000,2026-01-01 00:05:00,2026-01-01 09:05:00,864.81,865.61,864.35,865.61,2316.94,2004073.3235,3084,1432.32,1238908.4211,491166.45,425132217.83772713,547.7,29.39,303.24,-244.46,2.33755702,1.123255,2.86117721,1.609111
BNBUSDT,1767226200000,2026-01-01 00:10:00,2026-01-01 09:10:00,865.61,865.78,865.21,865.57,587.27,508307.007,1321,328.66,284486.918,491195.84,425169295.18720001,70.05,32.33,67.355,-2.695,2.33929251,1.123433,2.86347118,1.262118
BNBUSDT,1767226500000,2026-01-01 00:15:00,2026-01-01 09:15:00,865.58,866.28,865.57,866.28,501.61,434425.0531,1163,374.25,324108.1807,491228.17,425536888.60357833,246.89,275.51,398.955,152.065,2.34255616,1.123564,2.86671682,2.854591
BNBUSDT,1767226800000,2026-01-01 00:20:00,2026-01-01 09:20:00,866.28,866.6,866.1,866.11,914.84,792594.4931,1402,510.2,442025.5885,491503.68,425691337.24800003,105.56,89.94,142.72,37.16,2.3406036,1.122911,2.86632826,1.263396
BNBUSDT,1767227100000,2026-01-01 00:25:00,2026-01-01 09:25:00,866.11,866.79,866.11,866.78,587.64,509183.9206,957,375.52,325393.9846,491593.62,426103517.9436,163.4,220.15,301.85,138.45,2.33895084,1.122039,2.86677529,1.681384
BNBUSDT,1767227400000,2026-01-01 00:30:00,2026-01-01 09:30:00,866.79,866.79,866.3,866.7,681.56,590636.732,1361,233.53,202370.8394,491813.77,426214721.23596209,-214.5,81.36,-25.89,188.61,2.34488449,1.122891,2.87292124,0.521217
BNBUSDT,1767227700000,2026-01-01 00:35:00,2026-01-01 09:35:00,866.7,866.82,866.24,866.56,436.97,378635.6756,1196,195.98,169812.8042,491895.13,426256643.85280001,-45.01,18.75,-3.755,41.255,2.34161806,1.123074,2.86972604,0.721726
BNBUSDT,1767228000000,2026-01-01 00:40:00,2026-01-01 09:40:00,866.56,866.81,866.32,866.41,344.43,298465.9039,1098,103.98,90101.9011,491913.88,426173940.21283174,-136.47,-3.79,-72.025,64.445,2.34280639,1.122696,2.87543948,0.445361
BNBUSDT,1767228300000,2026-01-01 00:45:00,2026-01-01 09:45:00,866.42,866.58,866.01,866.57,415.79,360173.8654,1298,211.57,183278.4807,491910.09,426274526.69129997,7.35,53.75,57.425,50.075,2.34212863,1.122527,2.8721696,1.022218
BNBUSDT,1767228600000,2026-01-01 00:50:00,2026-01-01 09:50:00,866.57,866.7,866.29,866.3,406.63,352352.3038,1283,164.86,142854.3719,491963.84,426183369.72727412,-76.91,12.11,-26.345,50.565,2.34850025,1.122218,2.87816366,0.681889
BNBUSDT,1767228900000,2026-01-01 00:55:00,2026-01-01 09:55:00,866.3,867,866.29,866.75,605.21,524602.7554,1158,382.96,331945.7041,491975.95,426425074.42199999,160.71,-203.58,-123.225,-283.935,2.34484072,1.121367,2.87594905,1.689313
BNBUSDT,1767229200000,2026-01-01 01:00:00,2026-01-01 10:00:00,866.76,868.05,866.6,867.88,1451.66,1259390.2112,1991,1237.93,1073995.9986,491772.37,426789569.02819997,1024.2,2170.85,2682.95,1658.75,2.33704877,1.120799,2.87234309,5.569012
BNBUSDT,1767229500000,2026-01-01 01:05:00,2026-01-01 10:05:00,867.88,869.52,867.76,869.32,4617.46,4010430.4627,5271,3692.33,3206901.0455,493943.22,429414477.7392,2767.2,2805.02,4188.62,1421.42,2.32797265,1.126858,2.85574756,4.029185
BNBUSDT,1767229800000,2026-01-01 01:10:00,2026-01-01 10:10:00,869.31,871.8,869.2,869.94,8912.9,7757841.6958,8211,5254.99,4573685.2534,496748.24,432120114.91424745,1597.08,425.64,1224.18,-372.9,2.31466768,1.128467,2.8481361,1.405613
BNBUSDT,1767230100000,2026-01-01 01:15:00,2026-01-01 10:15:00,869.95,870.94,869.95,870.49,1952.56,1699491.3797,3134,959.43,835072.6833,497173.88,432779919.06239998,-33.7,258.81,241.96,275.66,2.31803857,1.128123,2.85311053,0.970489
BNBUSDT,1767230400000,2026-01-01 01:20:00,2026-01-01 10:20:00,870.48,870.49,869.39,870.08,2066.57,1797663.3076,3278,942.92,820206.02,497432.69,432806234.9152,-180.73,-57.46,-147.825,32.905,2.31687035,1.127888,2.84234824,0.840178
BNBUSDT,1767230700000,2026-01-01 01:25:00,2026-01-01 10:25:00,870.08,870.08,869.38,869.61,805.9,700837.479,1790,299.48,260425.2514,497375.23,432521472.60364705,-206.94,88.97,-14.5,192.44,2.30367214,1.1271,2.82486822,0.610767
